model,video_id,true_label,prediction,is_correct
calm3,5RmRn2aAu-s,real,real,True
calm3,nl-Cpg9sxTU,real,real,True
calm3,SqW2Fpvl2Qc,real,real,True
calm3,Q9tsQ1V_kPw,real,real,True
calm3,aI_QfvFKqII,real,real,True
calm3,uo_rYpnWy3U,real,real,True
calm3,1AVGR6IiWL8,real,fake,False
calm3,RWJz4DXKuXk,real,fake,False
calm3,Czi_TTJ1wOc,real,real,True
calm3,ahNWnm0OiMU,real,real,True
calm3,7YxFNBu1Iwg,fake,fake,True
calm3,NdY2iUbqmp4,fake,fake,True
calm3,tJNyBMmN-M4,fake,real,False
calm3,b--HebOnkxo,fake,real,False
calm3,g6VR-B0GaS4,fake,real,False
calm3,79WKMD-3vMM,fake,fake,True
calm3,WbLcKRyAdI0,fake,fake,True
calm3,t7_0drHBuqc,fake,fake,True
calm3,2V2cJvNK2_U,fake,real,False
calm3,BG5e0HkZQX0,fake,fake,True
calm3,UUMKX_-MSfc,fake,real,False
calm3,UDYLZB3xfr4,fake,fake,True
calm3,3wegtHC506E,fake,fake,True
calm3,1rTX_Dgn4f4,fake,fake,True
calm3,ixvux5TLyAk,fake,real,False
calm3,5dxZ5L6QQQ8,fake,fake,True
calm3,iIZHVTjz1vg,fake,real,False
calm3,lImO-bdkeTQ,fake,fake,True
calm3,OIb9WRqP4_Y,fake,fake,True
calm3,Qqmh-MVbIBI,fake,real,False
calm3,q7x7IWPIAgw,fake,real,False
calm3,jjDxqkeiZVE,fake,real,False
calm3,Wk2J6vZLItM,fake,fake,True
calm3,VJXVjj8L4Go,fake,fake,True
calm3,9cXvJEd_mCA,fake,real,False
calm3,F0rikEVhLD0,fake,fake,True
calm3,706Tef5WwNs,fake,fake,True
calm3,zXTdSr9RMj4,fake,fake,True
calm3,ezNR8inl6dA,fake,fake,True
calm3,oehQMsxzPNQ,fake,fake,True
calm3,z125qBav35A,fake,fake,True
calm3,gEhuVWEMZbM,fake,fake,True
calm3,xHT-Df8fTLE,fake,fake,True
calm3,PipM3s4gr1Y,fake,fake,True
calm3,nTSVJ0eNGVE,fake,real,False
calm3,oxJpIQpCtkg,fake,fake,True
calm3,n1XJ9pZEXFY,fake,fake,True
calm3,kMviTwlqe54,fake,fake,True
calm3,5TTiidPkXvw,fake,fake,True
calm3,11P0Bc14bOk,fake,fake,True
calm3,cOO8ZvQz6MI,fake,fake,True
calm3,-3Vm7uZ0C38,fake,real,False
calm3,cOzCPQLncfY,fake,fake,True
calm3,7Ia8RWaT-SI,fake,fake,True
calm3,jaVeTaL36lM,fake,fake,True
calm3,RRY0IcjuvAk,fake,real,False
calm3,DGiLsAqY7X0,fake,fake,True
calm3,k_kl8-WrwPw,fake,real,False
calm3,bk8ElX8H_FY,fake,fake,True
calm3,Mh5MgjO0wQQ,fake,fake,True
calm3,Sjc2th58Sck,fake,real,False
calm3,pS-ACkqcWmA,fake,fake,True
calm3,M0ce323R1Sg,fake,real,False
calm3,j5mg3WLG4rk,fake,real,False
calm3,ic3DsOTxUJQ,fake,fake,True
calm3,PkWGTvDapO4,fake,fake,True
calm3,vmXffmFJ9Sw,fake,real,False
calm3,v6AnCELXV4Q,fake,real,False
calm3,C0gIZMD40NA,fake,fake,True
calm3,IQ2yOgnNyBo,fake,real,False
calm3,3A48BQnNb74,fake,fake,True
calm3,TxxV92O88PM,fake,real,False
calm3,c80YaYSHlVI,fake,real,False
calm3,bfDsYQAmNvU,fake,real,False
