video_id,ground_truth,prediction,logic_type,step1_flagged_count
5RmRn2aAu-s,real,real,llm_partial_context,27
nl-Cpg9sxTU,real,fake,llm_partial_context,23
SqW2Fpvl2Qc,real,real,llm_partial_context,29
Q9tsQ1V_kPw,real,real,llm_partial_context,21
aI_QfvFKqII,real,real,llm_partial_context,27
uo_rYpnWy3U,real,fake,llm_partial_context,24
1AVGR6IiWL8,real,fake,llm_partial_context,44
RWJz4DXKuXk,real,fake,llm_partial_context,45
Czi_TTJ1wOc,real,fake,llm_partial_context,32
ahNWnm0OiMU,real,real,llm_partial_context,44
7YxFNBu1Iwg,fake,fake,llm_partial_context,27
NdY2iUbqmp4,fake,fake,llm_partial_context,39
tJNyBMmN-M4,fake,fake,llm_partial_context,23
b--HebOnkxo,fake,fake,llm_partial_context,28
g6VR-B0GaS4,fake,real,llm_partial_context,36
79WKMD-3vMM,fake,fake,llm_partial_context,56
WbLcKRyAdI0,fake,fake,llm_partial_context,33
t7_0drHBuqc,fake,fake,llm_partial_context,31
2V2cJvNK2_U,fake,fake,llm_partial_context,34
BG5e0HkZQX0,fake,fake,llm_partial_context,36
UUMKX_-MSfc,fake,fake,llm_partial_context,49
UDYLZB3xfr4,fake,real,llm_partial_context,45
3wegtHC506E,fake,fake,llm_partial_context,33
1rTX_Dgn4f4,fake,fake,llm_partial_context,34
ixvux5TLyAk,fake,fake,llm_partial_context,29
5dxZ5L6QQQ8,fake,real,llm_partial_context,30
iIZHVTjz1vg,fake,real,llm_partial_context,31
lImO-bdkeTQ,fake,fake,llm_partial_context,34
OIb9WRqP4_Y,fake,fake,llm_partial_context,49
Qqmh-MVbIBI,fake,fake,llm_partial_context,17
q7x7IWPIAgw,fake,real,llm_partial_context,26
jjDxqkeiZVE,fake,fake,llm_partial_context,35
Wk2J6vZLItM,fake,fake,llm_partial_context,34
VJXVjj8L4Go,fake,fake,llm_partial_context,36
9cXvJEd_mCA,fake,real,llm_partial_context,27
F0rikEVhLD0,fake,fake,llm_partial_context,17
706Tef5WwNs,fake,fake,llm_partial_context,48
zXTdSr9RMj4,fake,fake,llm_partial_context,27
ezNR8inl6dA,fake,fake,llm_partial_context,51
oehQMsxzPNQ,fake,fake,llm_partial_context,49
z125qBav35A,fake,fake,llm_partial_context,40
gEhuVWEMZbM,fake,real,llm_partial_context,46
xHT-Df8fTLE,fake,fake,llm_partial_context,43
PipM3s4gr1Y,fake,fake,llm_partial_context,40
nTSVJ0eNGVE,fake,real,llm_partial_context,31
oxJpIQpCtkg,fake,fake,llm_partial_context,47
n1XJ9pZEXFY,fake,real,llm_partial_context,41
kMviTwlqe54,fake,fake,llm_partial_context,30
5TTiidPkXvw,fake,fake,llm_partial_context,30
11P0Bc14bOk,fake,fake,llm_partial_context,47
cOO8ZvQz6MI,fake,fake,llm_partial_context,31
-3Vm7uZ0C38,fake,real,llm_partial_context,35
cOzCPQLncfY,fake,fake,llm_partial_context,37
7Ia8RWaT-SI,fake,fake,llm_partial_context,42
jaVeTaL36lM,fake,fake,llm_partial_context,39
RRY0IcjuvAk,fake,real,llm_partial_context,40
DGiLsAqY7X0,fake,fake,llm_partial_context,58
k_kl8-WrwPw,fake,real,llm_partial_context,35
bk8ElX8H_FY,fake,fake,llm_partial_context,23
Mh5MgjO0wQQ,fake,fake,llm_partial_context,21
Sjc2th58Sck,fake,fake,llm_partial_context,27
pS-ACkqcWmA,fake,fake,llm_partial_context,35
M0ce323R1Sg,fake,real,llm_partial_context,29
j5mg3WLG4rk,fake,fake,llm_partial_context,38
ic3DsOTxUJQ,fake,fake,llm_partial_context,47
PkWGTvDapO4,fake,fake,llm_partial_context,50
vmXffmFJ9Sw,fake,real,llm_partial_context,24
v6AnCELXV4Q,fake,real,llm_partial_context,37
C0gIZMD40NA,fake,fake,llm_partial_context,48
IQ2yOgnNyBo,fake,fake,llm_partial_context,33
3A48BQnNb74,fake,fake,llm_partial_context,50
TxxV92O88PM,fake,fake,llm_partial_context,26
c80YaYSHlVI,fake,fake,llm_partial_context,11
bfDsYQAmNvU,fake,fake,llm_partial_context,27
