feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
function,-4.052584969528773,-4.217848297339017,14,0.0001220703125,0.0009358723958333334,True
pronoun,-0.557848140049835,-0.5405250056816862,14,0.0001220703125,0.0009358723958333334,True
casepart,-2.1331711889473244,-2.457098938339707,14,0.0001220703125,0.0009358723958333334,True
ipron,-0.5000489826558715,-0.49191235232293185,14,0.0001220703125,0.0009358723958333334,True
conj,-0.6974877275769256,-0.7985174918537954,14,0.0001220703125,0.0009358723958333334,True
adverb,-0.5167351522987937,-0.524846528224142,14,0.0001220703125,0.0009358723958333334,True
relativ,-0.5712492578989901,-0.7203431765723604,14,0.0001220703125,0.0009358723958333334,True
informal,-0.47553152824200007,-0.4887604557306509,14,0.0001220703125,0.0009358723958333334,True
nonflu,-0.10331825592365071,-0.12869189406296805,14,0.0001220703125,0.0009358723958333334,True
negate,-0.24001449040235767,-0.2540165141204514,14,0.000244140625,0.00140380859375,True
number,0.4740401134222494,0.5229113830498254,14,0.000244140625,0.00140380859375,True
differ,-0.2109629728991535,-0.2498574872435169,14,0.000244140625,0.00140380859375,True
space,-0.2582692281904977,-0.2973676573029468,14,0.0006103515625,0.0032395582932692305,True
posemo,-0.15286177360271236,-0.14610864027485107,14,0.001708984375,0.007861328125,True
auxverb,-0.28122979948404647,-0.3541868617038431,14,0.001708984375,0.007861328125,True
cogproc,-0.3761150959843995,-0.43934140196378246,14,0.0040283203125,0.01544189453125,True
time,-0.45869767383502813,-0.3826268844897934,14,0.0040283203125,0.01544189453125,True
affect,-0.2833487470302043,-0.25312120444219344,14,0.0040283203125,0.01544189453125,True
male,-0.01776077414070803,-0.025176372740971453,14,0.007645761692991623,0.027766187200864316,True
money,-0.038192269758907105,-0.053263147543660724,14,0.008544921875,0.028076171874999997,True
preadj,-0.06907965443184094,-0.07731373653974519,14,0.008544921875,0.028076171874999997,True
tentat,-0.10769875425095293,-0.10943460955915645,14,0.013427734375,0.04211425781250001,True
interrog,-0.02015353618289277,-0.02887226462325555,14,0.0166015625,0.0498046875,True
