feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
adverb,-2.5034596550989994,-2.272975945713896,31,9.313225746154785e-10,1.2852251529693603e-08,True
informal,-2.8271230502599654,-2.804826453779582,31,9.313225746154785e-10,1.2852251529693603e-08,True
achieve,1.1876186223065759,1.2798453926995537,31,9.313225746154785e-10,1.2852251529693603e-08,True
drives,2.297920658576396,2.584966667912652,31,9.313225746154785e-10,1.2852251529693603e-08,True
nonflu,-0.43327556325823224,-0.534102509164684,31,9.313225746154785e-10,1.2852251529693603e-08,True
auxverb,-1.7956748766137216,-1.6886633946870215,31,4.6566128730773926e-09,5.3551048040390015e-08,True
power,0.7948925437734167,0.9275651024196115,31,6.51925802230835e-09,6.426125764846802e-08,True
health,2.2837547995493326,2.185400736910402,31,1.30385160446167e-08,1.1245720088481903e-07,True
relativ,-1.2655971479500892,-1.2120346784604754,31,2.3283064365386963e-08,1.7850349346796673e-07,True
negate,-1.0851063374540777,-1.1453362709627517,31,6.51925802230835e-08,4.498288035392761e-07,True
differ,-0.5871655666737633,-0.7183065681501347,31,1.2759119272232056e-07,8.003447543491018e-07,True
bio,1.805081285128165,2.447991818273893,31,1.9278377294540405e-07,1.1085066944360733e-06,True
reward,0.3372096951946232,0.38680707103001927,31,4.163011908531189e-07,2.2095986283742464e-06,True
time,-0.9342787781003512,-0.9893704183640899,31,5.960464477539062e-07,2.7418136596679688e-06,True
pronoun,-1.1353917609508883,-1.2102470826686176,31,5.960464477539062e-07,2.7418136596679688e-06,True
casepart,2.4368644109824658,4.0718827567765645,31,9.955838322639465e-07,4.2934552766382694e-06,True
assent,-0.1887385970430953,-0.2636831717021203,31,1.7343976283205784e-06,6.648524241895551e-06,True
filler,-0.31839622641509435,-0.33372090143477384,31,1.7343976283205784e-06,6.648524241895551e-06,True
risk,0.36109460212564803,0.595355104109294,31,1.8952414393424988e-06,6.882718911296443e-06,True
i,-0.16874004444085716,-0.21301556278669959,31,2.5741755962371826e-06,8.88090580701828e-06,True
ipron,-1.0523080442023702,-0.9583808811631893,31,5.317851901054382e-06,1.66787173260342e-05,True
discrep,-0.22948311659927878,-0.20457246239495133,31,5.317851901054382e-06,1.66787173260342e-05,True
interrog,-0.3454728659853174,-0.28341955105119837,31,6.109476089477539e-06,1.8328428268432617e-05,True
anx,0.19740397410200344,0.23869564496175527,31,9.162351489067078e-06,2.6341760531067848e-05,True
cause,0.6064752793690191,0.8378236945294819,31,1.1898577213287354e-05,3.157699337372413e-05,True
number,-0.3853489613878002,-0.42274315828495423,31,1.1898577213287354e-05,3.157699337372413e-05,True
space,-0.3704467384663901,-0.47717188580688574,31,3.177858889102936e-05,8.121194938818613e-05,True
you,-0.013347570742124934,-0.04625282503432005,31,5.956977907456359e-05,0.00014679695557660312,True
work,1.0001834744102784,0.9685923196538313,31,6.266403943300247e-05,0.00014909719727162658,True
affect,0.7595216855619786,0.9178226838818481,31,6.987154483795166e-05,0.00016070455312728883,True
negemo,0.3606612616181305,0.4236209549877138,31,9.619537740945816e-05,0.0002141122916533101,True
friend,-0.036192544335866814,-0.038637432542581465,31,9.940081857188176e-05,0.00021433301504562006,True
insight,0.8823367836212213,0.8019608549358742,31,0.0002152901142835617,0.00045015205713835627,True
preadj,-0.3774771940861906,-0.30852120678931566,31,0.00023703649640083313,0.0004810446544605143,True
ppron,-0.21715526601520088,-0.21138077131260316,31,0.0004954077303409576,0.000976660954100745,True
function,-2.056951640934848,-1.9014300360388723,31,0.0009815162047743797,0.0018812393924842279,True
hear,-0.14699412706887346,-0.1516646943093129,31,0.0010653818026185036,0.0019867930913696416,True
adjverb,0.1437622759765072,0.19799396623383975,31,0.0020003607496619225,0.003632233992807175,True
swear,0.0,-0.008793863005252601,31,0.002217721464237049,0.003923661052111702,True
we,-0.03249566724436742,-0.05561211844273176,31,0.002615400210729776,0.004511565363508863,True
certain,0.3102705750270617,0.30346216938904774,31,0.0038599325343966484,0.006495984021301677,True
posemo,0.3278669817194724,0.5412924336444079,31,0.0044362908229231834,0.007288192066230944,True
netspeak,0.0,-0.01673034351224895,31,0.007169734292803208,0.01150492246984701,True
ingest,0.1332104149644772,0.4439865291944066,31,0.017897082542391966,0.028065879441478314,True
family,-0.03402517863218782,-0.011628613394344128,31,0.01900379037783669,0.029139145246016254,True
feel,-0.07659611796041405,-0.0728623225067964,31,0.022097455337643623,0.033146183006465435,True
sad,-0.05415944540727903,-0.0437587533638139,31,0.03160338164205514,0.046396453900038395,True
