video_id,ground_truth,prediction,logic_type,step1_flagged_count,extracted_snippet
DeSjkcslmQk,real,fake,llm_partial_context,20,夜間頻尿の原因のほとんどは夜間多尿であり、これは自力で治すことができます。
h7oQ_x654Hs,real,fake,llm_partial_context,7,これは部材型に対してガンマをコードしたレプリコン、部材型をコードしたレプリコン、いずれもWHOが定めた有効中和抗体価を1年にわたって維持しましたと。
5onSDrnzQCE,real,fake,llm_partial_context,19,「マザキラ」って呼ばれてたりしますよね。お母さんになれなくなってしまうってことですね。母が殺されちゃう、ヤバい名前ですね。ヤバいですよね。
MFF4VCijub8,real,fake,llm_partial_context,7,調査の結果、朝食から夕食までの時間が最も短いグループ、これは平均11時間ということです。このグループに比べて、最も長いグループ、これは平均13時間ですけれども、このグループではガンによる死亡リスクが2倍にも高くなっていました。つまり、朝食を早く食べて夕食を遅い人、逆に言うと夜間の絶食時間が短い人の方がガンで亡くなるリスクが高いということです。
nl-Cpg9sxTU,real,fake,llm_partial_context,23,笑うことで体が心に働きかけてくれるんですね。ですから、ネガティブなこと、嫌なことがあった時も、とりあえず笑い声を出してみる。そうすると、自分の心が楽しむことができるんです。笑い声を出してみる、そうすることで前向きな考え方にチェンジするきっかけになっていくんですね。
86LVMIcxQDo,real,fake,llm_partial_context,27,サバ缶が高温調理されているから、カルシウムが増えるんだぜ。
iueICFAco_k,real,fake,llm_partial_context,10,寒さでがんが縮小するかもしれない
f0poZZ4NCgA,real,fake,llm_partial_context,29,ビタミンD不足の人は死亡率が上昇することが分かっています。
B2fWWfjTe1c,real,fake,llm_partial_context,15,戦争はひどいものですよね。早く状況が落ち着いてくれることを強く祈るばかりです。
HzrgMmVmciw,real,fake,llm_partial_context,27,あるものを食べるだけで、がんのリスクを軽減させる、そんな魔法のような食べ物が見つかりました。
e_CJnZBsoW4,real,fake,llm_partial_context,17,コロナの後遺症が実は結構やばいっていう話なんですよ。注意しないと。コロナの死者、また増えてるらしいです。
uw9hW9SZ3SE,real,fake,llm_partial_context,12,特に、シュガーレスとか糖質オフ、あるいは低カロリーを謳っている食品で、甘いものには必ずと言っていいほど入っています。
