model,video_id,true_label,prediction,is_correct
gpt-oss,5RmRn2aAu-s,real,real,True
gpt-oss,nl-Cpg9sxTU,real,real,True
gpt-oss,SqW2Fpvl2Qc,real,real,True
gpt-oss,Q9tsQ1V_kPw,real,real,True
gpt-oss,aI_QfvFKqII,real,real,True
gpt-oss,uo_rYpnWy3U,real,real,True
gpt-oss,1AVGR6IiWL8,real,real,True
gpt-oss,RWJz4DXKuXk,real,real,True
gpt-oss,Czi_TTJ1wOc,real,real,True
gpt-oss,ahNWnm0OiMU,real,real,True
gpt-oss,7YxFNBu1Iwg,fake,real,False
gpt-oss,NdY2iUbqmp4,fake,real,False
gpt-oss,tJNyBMmN-M4,fake,real,False
gpt-oss,b--HebOnkxo,fake,real,False
gpt-oss,g6VR-B0GaS4,fake,real,False
gpt-oss,79WKMD-3vMM,fake,real,False
gpt-oss,WbLcKRyAdI0,fake,real,False
gpt-oss,t7_0drHBuqc,fake,real,False
gpt-oss,2V2cJvNK2_U,fake,real,False
gpt-oss,BG5e0HkZQX0,fake,real,False
gpt-oss,UUMKX_-MSfc,fake,real,False
gpt-oss,UDYLZB3xfr4,fake,real,False
gpt-oss,3wegtHC506E,fake,real,False
gpt-oss,1rTX_Dgn4f4,fake,real,False
gpt-oss,ixvux5TLyAk,fake,real,False
gpt-oss,5dxZ5L6QQQ8,fake,real,False
gpt-oss,iIZHVTjz1vg,fake,real,False
gpt-oss,lImO-bdkeTQ,fake,real,False
gpt-oss,OIb9WRqP4_Y,fake,real,False
gpt-oss,Qqmh-MVbIBI,fake,real,False
gpt-oss,q7x7IWPIAgw,fake,real,False
gpt-oss,jjDxqkeiZVE,fake,real,False
gpt-oss,Wk2J6vZLItM,fake,real,False
gpt-oss,VJXVjj8L4Go,fake,real,False
gpt-oss,9cXvJEd_mCA,fake,real,False
gpt-oss,F0rikEVhLD0,fake,real,False
gpt-oss,706Tef5WwNs,fake,real,False
gpt-oss,zXTdSr9RMj4,fake,real,False
gpt-oss,ezNR8inl6dA,fake,real,False
gpt-oss,oehQMsxzPNQ,fake,real,False
gpt-oss,z125qBav35A,fake,real,False
gpt-oss,gEhuVWEMZbM,fake,real,False
gpt-oss,xHT-Df8fTLE,fake,real,False
gpt-oss,PipM3s4gr1Y,fake,real,False
gpt-oss,nTSVJ0eNGVE,fake,real,False
gpt-oss,oxJpIQpCtkg,fake,real,False
gpt-oss,n1XJ9pZEXFY,fake,real,False
gpt-oss,kMviTwlqe54,fake,real,False
gpt-oss,5TTiidPkXvw,fake,real,False
gpt-oss,11P0Bc14bOk,fake,real,False
gpt-oss,cOO8ZvQz6MI,fake,real,False
gpt-oss,-3Vm7uZ0C38,fake,real,False
gpt-oss,cOzCPQLncfY,fake,real,False
gpt-oss,7Ia8RWaT-SI,fake,real,False
gpt-oss,jaVeTaL36lM,fake,real,False
gpt-oss,RRY0IcjuvAk,fake,real,False
gpt-oss,DGiLsAqY7X0,fake,real,False
gpt-oss,k_kl8-WrwPw,fake,real,False
gpt-oss,bk8ElX8H_FY,fake,real,False
gpt-oss,Mh5MgjO0wQQ,fake,real,False
gpt-oss,Sjc2th58Sck,fake,real,False
gpt-oss,pS-ACkqcWmA,fake,real,False
gpt-oss,M0ce323R1Sg,fake,real,False
gpt-oss,j5mg3WLG4rk,fake,real,False
gpt-oss,ic3DsOTxUJQ,fake,real,False
gpt-oss,PkWGTvDapO4,fake,real,False
gpt-oss,vmXffmFJ9Sw,fake,real,False
gpt-oss,v6AnCELXV4Q,fake,real,False
gpt-oss,C0gIZMD40NA,fake,real,False
gpt-oss,IQ2yOgnNyBo,fake,real,False
gpt-oss,3A48BQnNb74,fake,real,False
gpt-oss,TxxV92O88PM,fake,real,False
gpt-oss,c80YaYSHlVI,fake,real,False
gpt-oss,bfDsYQAmNvU,fake,real,False
