feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
insight,0.8175482875513786,1.0138599576574996,13,0.000244140625,0.016845703125,True
informal,-0.6050931262512895,-0.6011043904249304,13,0.00048828125,0.016845703125,True
female,-0.024945222099795154,-0.03409942472960864,13,0.0009765625,0.0224609375,True
number,-0.3239757110119077,-0.3461832930270441,13,0.006103515625,0.0701904296875,False
posemo,0.5581129042043316,0.5590387214531666,13,0.006103515625,0.0701904296875,False
differ,-0.27619477658872893,-0.2823003569979943,13,0.006103515625,0.0701904296875,False
affect,0.5460033358886951,0.7746701773250919,13,0.010498046875,0.0926513671875,False
cogproc,0.5279682096705702,0.8456345509056908,13,0.013427734375,0.0926513671875,False
social,0.24654474608109345,0.5293653884973739,13,0.013427734375,0.0926513671875,False
assent,-0.09323035057451107,-0.09442088100382807,13,0.013427734375,0.0926513671875,False
quant,-0.183868857900936,-0.17520508953984631,13,0.01708984375,0.0982666015625,False
casepart,0.7117437722419915,0.936606958464525,13,0.01708984375,0.0982666015625,False
home,-0.01179245283018868,-0.022086903925873622,13,0.01953125,0.10366586538461538,False
work,0.43672890281440546,0.4858608729371983,13,0.021484375,0.10588727678571427,False
filler,-0.08622498065001483,-0.09451484495185224,13,0.026611328125,0.12241210937500001,False
family,-0.03038128512836093,-0.04591711173296615,13,0.0322265625,0.13897705078125,False
drives,0.37503480586628957,0.573414647119522,13,0.0478515625,0.18343098958333334,False
anx,0.06656738391952158,0.11917087390933867,13,0.0478515625,0.18343098958333334,False
feel,-0.07295395255718012,-0.06816177650835323,13,0.068115234375,0.221689453125,False
achieve,0.204725257839248,0.17713398371139896,13,0.068115234375,0.221689453125,False
leisure,0.11016171154695156,0.18843116852976413,13,0.080322265625,0.221689453125,False
risk,0.0913559953933667,0.09132600229433718,13,0.080322265625,0.221689453125,False
space,-0.3514236441065708,-0.2817254774751425,13,0.080322265625,0.221689453125,False
health,0.33464728586679815,0.35326577215165084,13,0.080322265625,0.221689453125,False
nonflu,-0.08906497181149386,-0.09132052254992182,13,0.080322265625,0.221689453125,False
negemo,0.0678679946972629,0.13160614222954306,13,0.09423828125,0.24083116319444445,False
time,-0.4953718368352513,-0.3093316956288415,13,0.09423828125,0.24083116319444445,False
cause,0.2207390540181955,0.23783325996903892,13,0.10986328125,0.2613988415948276,False
interrog,-0.04354650868398402,-0.06915881720278927,13,0.10986328125,0.2613988415948276,False
swear,0.0,-0.005325880979148496,13,0.125,0.2831164944556452,False
power,0.17036231582550632,0.2517458885966003,13,0.127197265625,0.2831164944556452,False
certain,0.19890887328609752,0.18947450057798146,13,0.167724609375,0.35069691051136365,False
affiliation,0.09636259546979425,0.2142249050845223,13,0.167724609375,0.35069691051136365,False
male,-0.02177444348262854,-0.05050081511796745,13,0.20361328125,0.41321518841911764,False
friend,-0.005078590511623335,-0.018300138358300612,13,0.240234375,0.45483398437499994,False
hear,0.07407779543659365,0.07717658809567586,13,0.243896484375,0.45483398437499994,False
relativ,-0.6453208681970164,-0.3455938880716953,13,0.243896484375,0.45483398437499994,False
bio,0.41897238919873026,0.23537561840997406,13,0.2734375,0.4900924327761628,False
sad,-0.010424652172920622,-0.02414930475709419,13,0.30126953125,0.4900924327761628,False
ipron,-0.19243871832689274,-0.11574497818780885,13,0.305419921875,0.4900924327761628,False
adjverb,0.01786914016098831,0.0614937244274026,13,0.305419921875,0.4900924327761628,False
verb,0.11383402857782965,0.19594699565513085,13,0.305419921875,0.4900924327761628,False
adverb,-0.21586060493513592,-0.25037435555883264,13,0.305419921875,0.4900924327761628,False
body,-0.01471000220543589,-0.1100178516340178,13,0.339599609375,0.5207194010416667,False
function,0.13992157815970785,0.30355153966027754,13,0.339599609375,0.5207194010416667,False
pronoun,0.021122226803526933,-0.16653694515760062,13,0.375732421875,0.5635986328125,False
anger,0.009240180460224928,0.05540152759153293,13,0.414306640625,0.5834113919005102,False
ingest,-0.018782628044897942,-0.16743439323472398,13,0.414306640625,0.5834113919005102,False
money,-0.03537735849056604,-0.018264478967742182,13,0.414306640625,0.5834113919005102,False
conj,0.0785016588408558,0.14777943016107814,13,0.497314453125,0.6862939453125,False
we,-0.014394702749388226,-0.005938467282051705,13,0.5185546875,0.7015739889705883,False
auxverb,-0.3070686781157663,-0.1507078189777088,13,0.541748046875,0.7188579852764423,False
preadj,-0.013843428477574804,-0.013491452418451929,13,0.587890625,0.7511935763888888,False
reward,0.02221739251859256,-0.022295536406687334,13,0.587890625,0.7511935763888888,False
discrep,0.06575012733967611,0.012964250917538776,13,0.635498046875,0.7830243791852678,False
negate,-0.20679042031355221,-0.07706836783538328,13,0.635498046875,0.7830243791852678,False
ppron,-0.08561401798308935,-0.018250246449653444,13,0.684814453125,0.790625,False
motion,0.10975293647303386,0.09389207352471145,13,0.684814453125,0.790625,False
see,0.013564708256590174,0.035226486841361954,13,0.684814453125,0.790625,False
relig,0.0,0.002486757926944804,13,0.6875,0.790625,False
sexual,0.0,-0.0002691969134203048,13,0.8125,0.8898809523809524,False
shehe,0.0,-0.004995118085592364,13,0.8125,0.8898809523809524,False
netspeak,0.0,-0.001936143306813332,13,0.8125,0.8898809523809524,False
i,-0.04065305295747343,0.006243535999172336,13,0.83935546875,0.8910081129807693,False
percept,0.006749491926893336,0.07129138222866625,13,0.83935546875,0.8910081129807693,False
tentat,0.0012774997969928759,0.0648321282185408,13,0.946044921875,0.9890469637784091,False
you,0.0,0.009879783628902473,13,1.0,1.0,False
they,0.0,-0.0008246470510621454,13,1.0,1.0,False
death,0.0,0.00043045146289664884,13,1.0,1.0,False
