video_id,delta_function,delta_pronoun,delta_ppron,delta_i,delta_we,delta_you,delta_shehe,delta_they,delta_ipron,delta_casepart,delta_auxverb,delta_adverb,delta_conj,delta_negate,delta_verb,delta_interrog,delta_number,delta_quant,delta_adjverb,delta_preadj,delta_affect,delta_posemo,delta_negemo,delta_anx,delta_anger,delta_sad,delta_social,delta_family,delta_friend,delta_female,delta_male,delta_cogproc,delta_insight,delta_cause,delta_discrep,delta_tentat,delta_certain,delta_differ,delta_percept,delta_see,delta_hear,delta_feel,delta_bio,delta_body,delta_health,delta_sexual,delta_ingest,delta_drives,delta_affiliation,delta_achieve,delta_power,delta_reward,delta_risk,delta_relativ,delta_motion,delta_space,delta_time,delta_work,delta_leisure,delta_home,delta_money,delta_relig,delta_death,delta_informal,delta_swear,delta_netspeak,delta_assent,delta_nonflu,delta_filler,delta_len
7YxFNBu1Iwg,-3.208346720640037,-0.2750203335581185,-0.08101148997644574,-0.02001836363161809,0.0,0.0,0.0,0.0,-0.2013069884255274,-2.111935280926051,-0.11652253455262951,-0.2717835386480547,-0.6101061690593705,-0.3008730486455087,0.12693462393685095,-0.08027959328240436,0.46397877761945694,-0.0834029077662225,-0.024708540881484914,-0.24010688315317164,-0.10789489884349601,-0.05900357501863551,0.006782797954024922,0.029924476069461137,-0.018348431487603345,0.0,0.3511771517218827,-0.030027545447427136,0.0,0.0,0.0,-0.5135291208004027,0.21875902865627506,-0.23518974505081447,-0.012926357543695144,-0.10238016656990112,-0.21717134379366743,-0.1976683270518793,0.23222155518635912,0.09957647126826047,0.0624569197329104,-0.03304779055327922,0.5044590155393953,-0.007710422355718949,-0.045036112647001025,0.0,0.501634498141196,0.1681977726874,0.13710830031547455,0.017730015219807327,0.14847820614140028,-0.023038608737470212,-0.06307533600070642,-0.1277893710005893,-0.033563137443109126,-0.12917091710726503,0.03171829968800077,-0.10091637318181845,0.16130149430712948,-0.037325690291282076,-0.028244132877167205,-0.010009181815809044,0.0,-0.5923865648878426,0.0,0.015431255759717252,-0.06099312634482763,-0.1246972896616094,-0.0875777381262593,9614
NdY2iUbqmp4,-3.3276465072124566,-0.47049602346401453,-0.23174751893412088,-0.12581277569881275,-0.02967107069772812,-0.006345574178296405,-0.09052065835338058,0.0,-0.21820433573480846,-1.998624684681566,-0.16504570314896405,-0.11429183463669634,-0.4213449337817581,-0.37047428287146866,-0.6078905147382008,-0.10720862469945813,0.39703512847898936,-0.016337619152008265,-0.021876441458247034,-0.022133839396746957,-0.3024378111089039,-0.33770609531188267,0.04935009642174437,0.07588949220105695,-0.011849838427977322,-0.004230382785530937,-0.36371997030009107,0.02906332556515888,-0.1025456703783926,-0.009185293101654217,-0.022542577789827795,0.056967168749944896,0.0147586734644507,0.37684130687797324,-0.14473271583567887,-0.088288684562592,0.1882627588702308,-0.08486505364911867,-0.09387517315373817,0.03714991079969776,0.06114154365071023,-0.20853880481271223,-0.1045810207439386,0.1266064193425207,0.23434056483308296,0.0,-0.19963474279201177,0.002675270240427352,0.1382465261169057,0.01672252440263544,-0.14678951602943274,-0.021818050259235472,-0.023208714121408597,-0.7694863705169919,0.12752995361260155,-0.1712375535584334,-0.9342007929858491,-0.3448107550773293,-0.19616344559363097,0.01842897740231999,0.010692739361850445,0.0,0.0,-1.296856613475383,-0.0021151913927654684,0.015589258478962177,-0.17385443259984928,-0.16993983895182985,0.017330269535204668,11866
tJNyBMmN-M4,-7.3100140818875055,-0.4575019262959321,-0.06724765523288254,-0.017509365783670322,-0.04918032786885246,-0.01676541700985732,0.0,0.0,-0.27828998060419274,-3.566888965645507,-1.3812471769800991,-0.907936339240641,-1.7428328506522837,-1.2706645056726094,-1.4080824720354972,0.04527459680633422,0.9651938252251773,-0.055875866833169585,-0.03464675718043414,-0.10115046363950367,-0.5347928899752903,-0.18160320960756704,-0.3012195445970721,0.029439115763743084,-0.29619789037383426,0.0,0.6101442729229216,0.031670962085182136,-0.03278688524590164,0.016021468236044317,0.016021468236044317,0.16515662778648732,0.12466455881180738,0.7954937959986184,-0.033716821213167894,0.34856657013045667,-0.1018944124133167,-0.5338895236070887,-0.16818556207986823,0.04192682732417574,-0.01918325052474959,-0.12070568855115982,0.14796609719159326,1.028721736588995,0.7882137258548768,0.0,-0.68738209740415,0.7321784414273189,0.23957807476685178,0.6918989292451576,-0.31910088476764886,0.19095570847835908,0.12147620692403749,-2.694927863538539,-0.61455482636767,0.17272896351994071,-2.600898052448389,0.3632861280123283,-0.23062411988203096,-0.01639344262295082,-0.3284268140393761,-0.06873555278050852,-0.01639344262295082,-0.5551186332598241,-0.01639344262295082,0.013975609108058562,-0.06706166803942928,-0.24962138321332727,-0.1160560087148285,70
b--HebOnkxo,-5.7285329955774245,-0.5545950375592952,-0.1923201153249378,-0.11391953078194689,0.012137501544968177,0.005360204788004358,0.0,0.0,-0.3478886320595853,-1.8652504545090522,-1.2527138829109257,-1.0892591405381884,-1.084545047205717,-0.7319434674013459,-0.7086536697223274,-0.09192424718936648,0.4544775472316924,-0.027016394425199097,-0.05104509616240613,-0.20304052490094648,-0.7593917483845867,-0.3132632442165779,-0.43063328511211074,-0.16074428190502665,-0.10717316489253512,-0.06740294274670068,-0.21890462319209503,-0.0109976417962902,0.014109057954490634,0.0,-0.12353101147682966,-1.2861066184025987,-0.19894275774414139,0.2982927043213781,-0.1968486234520977,-0.15051647503447674,-0.43935120741104505,-0.6085671102622763,-0.1476513602290057,-0.29077535791853865,-0.015464288188345998,0.12812138133909368,-0.3928346193757989,-0.10547884070329415,-0.2870785464522232,-0.025383931971062316,-0.005637437008285839,-0.8383158665005883,-0.023658676914269317,-0.15874179462795213,-0.2856305236157115,-0.17343624789055778,-0.4337447012703113,-0.3050974951828316,-0.47175873749180064,0.43430031129856106,-0.3685584706981757,0.2765437220815268,-0.16610448669303102,0.0033886483784819205,-0.06145734265058134,-0.05809962513965143,0.11678464558741791,-0.3560520899179562,0.0,0.0,-0.08403802155127674,-0.019715564095224403,-0.14269211113149116,3200
79WKMD-3vMM,-1.1632909956722592,0.013999814262115606,-0.025634922248495617,-0.01968126847736923,0.0,-0.011575413821044102,-0.002749288490064403,0.0,0.03597529443855141,-0.18702736615520976,-0.42338502726425187,-0.39937892380585627,-0.20970005666859048,-0.21252144520187288,0.029763452455983774,-0.023511765712690202,0.2715894785837256,-0.014894351033130082,-0.09508740517476022,-0.02803348927327226,-0.2857102866430625,-0.032064086021247995,-0.1875400937904801,-0.05211329824143471,-0.0382248449772446,-0.03069725018170598,-0.2034387371260009,-0.0541987992890819,-0.013291365659324466,-0.008930480656689534,0.0,-0.4309691052920277,-0.05003801379910189,-0.08619618547277841,-0.10207439559767062,-0.07058156376499358,-0.17885597927336838,-0.14338042278618823,0.0670797493177826,-0.010011689401946078,-0.02344506587513856,0.09445966775395176,-0.13854884418157587,0.33948524276310765,-0.448190507112735,0.0,-0.0925656550801946,0.020360672730766805,0.023416021525745206,-0.18827919220921385,0.11581923258144333,-0.02377695959634718,0.03275370687995982,0.10455046287133118,0.023831837362035202,0.14700760957575554,0.03273166820278206,-0.10499473925099645,-0.20753282277842947,-0.0002275383954987737,0.007337711888198111,0.001033336651784041,0.001033336651784041,-0.025951199158723792,0.008371048539982152,-0.03117115471678264,0.026486987131703943,-0.08290629261008564,-0.0667698942737518,70671
WbLcKRyAdI0,-3.30592445105777,-0.221310877817674,-0.01851306730609753,0.0007281564887338388,0.0007281564887338388,-0.011841885540730485,0.0,0.0,-0.19984101954410516,-2.4476963382244534,0.0912924782204767,-0.7199202801139877,-0.9481673297722439,-0.23980922345292632,-0.1737157159747591,-0.01924122379483137,0.511789827447749,-0.21383793120934658,-0.07776666002228594,-0.032554143983874836,-0.6978694820601379,-0.7621171185015458,0.05981981082562371,0.16562445919092827,0.0014710346483129827,-0.028111596697245236,0.015394337959327764,-0.020712258443144352,0.15012706953568328,0.0,0.0,-0.19952506983904073,0.0035230090769065026,-0.13037851431479774,-0.07697961685017074,-0.040012368921356956,0.17147915444248962,-0.11913229022519328,-0.36843699137335006,-0.025912405560198415,-0.028111596697245236,-0.11468974293856371,-0.7166622611122966,0.1668893904474067,-0.27249586247440893,0.0,-0.6739796075868427,-0.1521280843344277,0.178952101050817,-0.26426531603565717,0.04714671710024243,-0.3077712506922299,0.25135667557675045,-1.6181822781568203,-0.2907733830469814,-0.5667186462440703,-0.9174885001668192,0.10191359751726492,-0.09474980599668925,-0.008142216413680035,0.0414097952154434,0.0,0.0,-0.07622201701974629,0.0,0.0029567909674712914,0.0,0.0022139128078921405,-0.032554143983874836,9145
t7_0drHBuqc,-6.270701330422643,-0.32894830683890475,0.016751276056942987,0.03174153239032629,0.03174153239032629,0.0,0.0,0.0,-0.42065086456276424,-4.5212207579937775,-0.5409815581604294,-0.3419416099831376,-1.3505633435787567,-0.46003787487726644,-1.18234124056376,-0.0449707690001499,0.9043113849262048,-0.036208847748603334,-0.2716072224075851,0.027918793428238317,-0.5500657676100702,-0.44564901757382014,-0.07443623736948313,-0.04061139705750261,-0.00030069951496858316,0.04761229858548943,-0.08852439515796062,-0.003822738962087971,0.01116751737129533,-0.0299805126667666,-0.0149902563333833,-0.9346373165229869,-0.1990615368604174,0.04076097579058979,-0.26572276420696883,-0.049717195190269736,-0.20226128810944222,-0.36361047964641313,0.32942017377008614,-0.08672019806814901,0.19251091358048605,0.09052134834711106,-1.470807682443918,-0.7551397527210646,-0.25674649817295725,0.0,-0.2761393038152402,-0.3229142699052012,0.17163619904648647,-0.02972299051804994,-0.2648638430283149,0.005540581319395832,-0.1952387978983292,-1.791937801893639,-0.36745480729162705,-0.6601942663819284,-0.8242497535536166,-0.18757173129102744,-0.6766448429239028,0.057018796233225075,-0.10935593232570828,-0.0599610253335332,-0.014109746471603457,0.07168676436851384,0.0,-0.0149902563333833,-0.0149902563333833,0.004101849793930634,0.009105798132767046,3050
2V2cJvNK2_U,-2.8127537018202062,-0.41011121452582966,-0.030747641047313312,0.02297635331045056,0.02087180788241899,0.0,0.0,0.0,-0.37777018434851906,-1.766377628161159,-0.7759120260390358,0.48513624131292676,-0.24489889554654276,0.10419028446202638,-0.20561323231531503,0.04719268864531956,0.2248097193166172,-0.365425392892401,0.2811604211580603,-0.19561755867863362,-0.7205237165577674,-0.7351687113550401,-0.03774118857951114,-0.08364498072213154,0.020665144211682585,-0.08318273890237796,-0.12227274422048229,-0.08297607523164155,-0.06642219291946053,-0.027658691743880515,-0.20852242091106665,-0.09288492566937556,0.5035500966617348,-0.10231441421995746,-0.13125099670892382,-0.5833014849127143,0.49121631096323015,-0.3913439520714421,0.1538629371561826,0.19617762945494877,-0.15006717364159203,0.006629134669005943,0.2450126217085462,-0.0484815851480187,0.3220773822399525,0.0,0.0,-0.5250639070715897,0.024983069781920497,-0.23140094526495558,-0.438634469673323,-0.275662433799298,0.15535849732961793,-0.21081773280439275,-0.47030659436014366,-0.0712133660670653,0.2720403166826042,-0.45745064660599133,0.058297498077019005,-0.027658691743880515,0.043081426745817955,-0.013829345871940258,0.0009244836395072009,-0.22143828890111283,-0.013829345871940258,0.05691077261775821,0.08256274789016876,-0.1371133969308782,-0.06071754188996176,4078
BG5e0HkZQX0,-3.9053314183952565,-0.3430550867371944,-0.038905426481563976,-0.045972938244806444,-0.024759907021623534,0.0,0.0,0.0,-0.3094725979366555,-2.380327765810417,-0.48320653645951417,-0.4475278598059971,-0.7733261325232155,-0.28313605176810297,-0.32051731877001544,-0.010614387561683106,0.3816456352150923,-0.22281292336097303,-0.001802301716223087,-0.03182217081813823,-0.4387000300603532,-0.3094516060697443,-0.1751951224017767,-0.0990711158868608,0.012322225876806314,-0.02298384513903933,0.04053979326249835,-0.00883832567909889,0.0,-0.00883832567909889,0.0,-0.4779990540465002,-0.09561345552279232,0.06689208333123409,-0.044207372295677755,-0.08142070436230187,-0.134476898270534,-0.11500844112956876,0.029867678066809678,-0.03364021643454462,0.05298272237404339,-0.019468457140965317,-0.2707560982572912,-0.06545713928595503,-0.10083143386926163,0.0,-0.09388987330748577,-0.3575102362340732,0.0742114974974096,-0.07786333263040568,-0.15038273571287553,-0.1449915744643896,-0.1522112772627373,-0.7393552941848203,-0.0177711147592976,-0.19815797567390492,-0.49161977683366365,-0.1327113323214053,-0.04253102178092116,-0.047733256227207324,0.1182614307912544,0.0,0.0,-0.10079469810216729,0.0,-0.02828579095315311,-0.024754659054895767,-0.0017865578160397577,-0.03358773676726689,11789
UUMKX_-MSfc,-3.1621158543253998,-0.30055674938986465,-0.08276673586638483,-0.031685237651222886,0.10325567486100759,-0.030415157370062396,0.0,0.0,-0.23603023785299304,-1.9203930640165296,-0.5453761767249938,-0.24476240531176208,-0.23430739295894032,-0.48772886057130815,-0.3813472091472292,0.014531355972018822,0.9355881173511292,-0.1119244845160351,-0.1410378827030661,-0.06810232850650844,-0.3578175829407262,-0.1752062588932426,-0.08415719597465454,0.0800745165750838,-0.07295456153768026,-0.17506053594463655,-0.03077629685139005,0.0935258656771672,0.017008158730598136,-0.029170420210398597,0.1057071344980902,-0.4361312399395114,-0.17774641945556358,0.053114796347549564,-0.1495673051898619,-0.34164233564547086,-0.001333438084902161,-0.07666976567554917,0.14929486663377256,0.15426747949205372,0.057077095920010895,-0.08631087393415116,-0.2705154030618777,-0.10220101111256885,-0.00012671560748334088,0.008504079365299068,-0.16090299101469396,-0.19986657821267428,0.1749211487764049,-0.26746838006962337,-0.11565236021465242,-0.1373733648081906,-0.00020908075234760126,-0.8686452366530935,-0.04271680601809469,-0.35755781594538516,-0.5048827422505124,-0.3392478980317557,0.019326566979823157,-0.014588377995386384,-0.2881283851343488,0.0631804018912207,0.0,0.015655713304573382,-0.0024324522959600914,-0.021885734883266658,-1.2671560748342414e-05,0.02184772020102163,0.050992797289923564,19951
